产品名,用户名,评论内容,评论时间,评论评分,点赞数,回复数,商品颜色,商品版本
HUAWEI,u***5,用了几天首先外观紫色非常好看，男生女生都能用，运行也非常流畅，比60提升很多新系统还要优化一段时间，慢慢发展逐渐强大。,2025-01-02 22:37:40,5,38,0,风信紫,12GB+512GB
HUAWEI,z***4,好不容易买到mate70Pro，昨天收到用了一天，出色的拍照，超强的变焦和夜景，能满足不同场景下我的拍摄需求。9020处理器性能强劲，运行各类大型应用和游戏都较为流畅，外观设计精致且富有质感。大屏搭配窄边框，握持手感舒适，电池续航能力也表现优秀，基本能满足一整天的高频使用。,2024-12-31 16:22:17,5,0,0,雪域白,12GB+512GB
HUAWEI,j***y,旧手机是mate50，总是4G网络，用起来还是不爽。赶上70做活动，就下单了。这几年华为用习惯了，觉得挺好用的，中国制造必须支持。,2025-06-20 10:31:09,5,0,0,雪域白,12GB+512GB
HUAWEI,j***g,一次就抢到了，老公想要，运气不错，现在拍照功能的算法比以前优化太多了，之前一直感觉很失真。使用流畅度也好了很多。我也准备今年换一个。,2025-01-13 20:56:52,5,0,0,曜石黑,12GB+1TB
HUAWEI,j***9,第一次用华为 也是第一次用mate 运气好抢到了 手感外观很不错 屏幕偏大 单手操作要适应 系统适应性还差一点 不如苹果 但是应用很多适合国内习惯 不错,2024-12-26 22:04:21,5,2,1,雪域白,12GB+512GB
HUAWEI,周***哒,外观非常漂亮，我选了大众的白色，很经典。屏幕大，护眼屏。音效相当不错。拍照也很棒不论是微距还是长焦都很出色，对于我这个数码小白，喜欢拍些日常生活照片很够用。12运行内存很快，多后台app没有压力。个人感觉待机时间还是挺不错的，这么大屏，一天下来能坚持下班很不错。尤其充电相当快，100w真不是说说而已。总之我很满意。,2025-06-04 13:07:22,5,0,2,雪域白,12GB+1TB
HUAWEI,P***y,"外形外观：mate70pro的曲面屏线条很美，白色虽然普普通通，但素净得很好看
拍照效果：如果对拍摄有追求的话，mate70pro比mate70要好一点，对比朋友的mate70，pro拍出来的质感要好一些",2024-12-30 13:27:27,5,12,7,雪域白,12GB+1TB
HUAWEI,木***東,等了半个月的华为mate70Pro终于等到了，除了难抢没有缺点，云杉绿很清新有质感，包装很好，完好无损，机子使用起来很流畅，拍摄清晰还原原本色彩，AI运动轨迹让照片变得有创意和有趣。,2024-12-26 19:57:22,5,2,2,云杉绿,12GB+512GB
HUAWEI,醉***风,辛苦多天，可算是在官旗抢到了这台mate 70pro，使用后的感受就是丝滑，微曲的设计也让一位原mate40pro用户感觉更好看好用，当然最大的升级还得属摄像机模组，红枫镜头的加入使拍照更真实，颜色更准，只能说牛！,2024-12-26 14:57:51,5,0,1,雪域白,12GB+512GB
HUAWEI,K***天,超级努力抢了很久！终于抢到了！绿色实物比图片更浅一些，很有质感，手感也很舒服，超级棒！开心,2025-01-17 09:46:00,5,313,10,云杉绿,12GB+1TB
HUAWEI,j***x,买来送老公的，老公很喜欢，一直用的华为手机，表示手机很好用，像素也不错。性能也可以，,2025-05-18 21:09:22,5,10,6,曜石黑,12GB+512GB
HUAWEI,分***恋,4号抢到的12+1TB，绿色颜色很惊艳，运行速度流畅，屏幕和拍照都很优秀，推荐购买,2024-12-27 22:51:41,5,0,0,云杉绿,12GB+1TB
HUAWEI,森林短弓,实用感受，比mate60卡，新机就卡,2025-12-22 10:33:24,2,0,0,曜石黑,12GB+512GB
HUAWEI,丨***丨,给老婆买的，以为要等好久发货，没想到这么快就发货了，老婆很满意，紫色没有那么艳丽，也很好看.,2024-12-31 19:54:10,5,0,0,风信紫,12GB+512GB
HUAWEI,t***w,终于到货啦，期待了很久，手机尺寸很大外观非常好看，拍照效果非常棒，升级到了纯血鸿蒙非常惊艳功能非常强大，支持华为，一定会越来越好。,2025-01-04 20:38:09,5,0,0,云杉绿,12GB+1TB
HUAWEI,小***啦,一直都支持华为，支持国货，国货当自强，整体到手感觉挺好，也赠送充电器，相机拍照特别清楚！,2024-12-26 19:57:43,5,2,0,雪域白,12GB+512GB
HUAWEI,j***w,外观非常漂亮，声音也很好，待机时间一般，颜值很高。非常喜欢,2025-11-19 12:31:04,5,1,0,雪域白,12GB+512GB
HUAWEI,whn205wu5yr6k7,手机收到了，很喜欢，看了好久才买的，收到了手感太好了，一直用华为手机！,2025-09-09 12:04:00,5,0,1,雪域白,12GB+512GB
HUAWEI,陈琳琳陈,"手机很漂亮
屏幕大
重量还能接受
和目前的p70p➕比
我觉得都不错",2025-11-14 14:08:54,5,0,0,雪域白,16GB+512GB
HUAWEI,v***2,从东莞发货顺丰快递很快，本来还担心快递运送手机安全问题，然而收到货后还挺满意，目前使用感觉还不错,2025-06-29 10:51:39,5,1,2,雪域白,12GB+512GB
HUAWEI,泰华DU,质量很好，操作顺畅，价格便宜了！,2025-11-13 22:54:25,5,0,0,曜石黑,12GB+512GB
HUAWEI,lzg火星-1,手感很好，包装完好。,2025-12-12 09:27:35,5,0,0,云杉绿,12GB+512GB
HUAWEI,w***钱,外观好看大气上档次，很流畅很好用。,2025-08-12 11:41:22,5,0,0,曜石黑,12GB+512GB
HUAWEI,jd_136004qoam,物流很快，手机是正品非常丝滑好用,2025-11-27 13:34:20,5,0,0,曜石黑,12GB+512GB
HUAWEI,1***j,帮朋友买的，用了一段时间，非常满意。,2025-11-29 17:45:40,5,2,0,曜石黑,12GB+512GB
HUAWEI,jd_690fca9510c5a,运行流畅，外观大气，拍照效果杠杠的,2025-10-12 18:26:02,5,0,0,曜石黑,12GB+256GB
HUAWEI,jd_yubgjggq6no4fj,充电超级快，物流一天送达,2025-12-06 09:46:32,5,0,1,风信紫,12GB+512GB
HUAWEI,j***j,手机好用 很流畅 价格美丽,2025-10-09 14:31:11,5,0,0,云杉绿,16GB+512GB
HUAWEI,jd137680uzj,物流很快，手机看着还不错，性能用用才知道。就觉得价钱对我这上班族有点贵！,2025-10-25 08:10:57,5,0,0,风信紫,12GB+512GB
HUAWEI,金汝则,软件启动快，外放声音大，自拍效果好，屏幕色彩鲜艳，值得购买,2025-11-18 12:02:27,5,0,0,曜石黑,12GB+512GB
HUAWEI,周***1,卖得有点早了，不过Mate系列还是挺好用的。我一直都在用华为手机,2025-08-09 09:52:09,5,0,0,曜石黑,12GB+512GB
HUAWEI,S***4,官方旗舰店发货都不看一下手机好着没，新手机拿来就出问题，都不先检测的,2025-06-07 11:08:06,1,0,1,雪域白,12GB+512GB
HUAWEI,j***9,好用，习惯了鸿蒙生态用别的不习惯了,2025-08-01 10:32:30,5,0,0,云杉绿,12GB+256GB
HUAWEI,j***y,挺好，手机外观没有瑕疵，就是送的手机壳不走心，戴上松,2025-10-02 19:23:40,5,0,0,雪域白,12GB+256GB
HUAWEI,chaoren11,正版，手机就是发热没有别的问题拍照还是可以,2025-11-14 20:19:34,5,0,0,雪域白,12GB+512GB
HUAWEI,j***v,拍照功能不错，颜色也还可以,2025-07-16 22:19:22,5,0,0,云杉绿,12GB+512GB
HUAWEI,l***n,我心心念念的mate70pro终于拿到了，我买的是白色超好看，信号简直太好了哈哈给，充电非常快。最喜欢的就是拍照！！！不得不说这个红枫影像是真的牛，拍出来的相片色彩还原度真的很好，跟肉眼看到的一样！！！我真的太爱了。,2024-12-28 08:59:01,5,6,1,雪域白,12GB+512GB
HUAWEI,子***i,"等了一个月终于到了，这代mate70这个风信紫有点好看的啊，微曲面屏幕也非常nice。
特别吹一下红枫影像，太牛了，拍出来的照片效果和人眼看到的基本上没什么区别，色彩还原度非常好。华为yyds！",2025-01-02 19:19:17,5,0,0,风信紫,12GB+512GB
HUAWEI,r***9,"外形外观：很华为
屏幕音效：很好
拍照效果：冲着拍照效果来的
运行速度：很快",2024-12-26 11:35:41,5,0,0,云杉绿,12GB+512GB
HUAWEI,j***2,超级幸运，这是对象心心念念的一款手机，从了解这款机型功能开始，就想要的一款产品，华为忠实粉丝，已经更换好几款了。男士使用上宽度大小可以，声音立体，1T的内存可以随心所欲下载，喜欢就没有缺点。,2025-03-14 23:39:00,5,1,0,云杉绿,12GB+1TB
HUAWEI,白***z,拍照挺好，配送超快，当天就拿到了，手机不错，流畅度很高，显示器很好，鸿蒙系统强，功能强大。,2025-04-24 13:03:13,5,1,0,曜石黑,12GB+1TB
HUAWEI,y***6,期待已久的HUAWEI Mate 70，手机质感很好，做工精美，拍照清晰，近景远景效果都不错，好看又好用，好评~,2025-01-11 22:30:40,5,2,5,雪域白,12GB+512GB
HUAWEI,j***3,"外形外观：白色的，百搭
屏幕音效：音效很好，屏幕很光滑",2025-01-15 21:14:50,5,0,0,雪域白,12GB+1TB
HUAWEI,小***l,非常棒的一款产品，一如既往支持国货品牌。颜色很漂亮，运行畅快，续航持久，拍照非常清晰。很喜欢,2025-03-11 21:59:27,5,0,0,云杉绿,12GB+1TB
HUAWEI,某***粉,mate70pro等了好久终于到货了，外观大气精致，手感无敌，拍照更是牛批，画质细腻，自拍美到爆啦，炒鸡喜欢！,2024-12-26 17:02:49,5,9,4,雪域白,12GB+1TB
HUAWEI,k***e,华为Mate70Pro白色外观非常大气，很有质感，XMAGE影像系统拍照很强大，红枫原彩还原准确，照片清晰色彩艳丽，还原真实影像，鸿蒙系统流畅顺滑，非常赞！,2025-01-02 14:27:56,5,2,1,雪域白,12GB+1TB
HUAWEI,1***a,"🎁宝贝收到了，颜色很好看，质感也很好，样子简单！🤩是我想要的！！
继续抢购",2025-01-07 10:10:45,5,0,1,云杉绿,12GB+1TB
HUAWEI,j***r,"真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，运送速度很快，很满意的一次购物
外形外观：黑色质感好，美观，很喜欢
屏幕音效：屏幕高清，音效太喜欢了
拍照效果：好高清的画质
运行速度：太快了
待机时间：持久",2025-02-13 10:48:44,5,1,1,曜石黑,12GB+1TB
HUAWEI,j***j,终于拿到了心心念念的70pro，操作相当丝滑，拍照功能杠杠滴！黑色也很有质感，就是太不好抢了，实体店到现在我都还没排上队！,2024-12-28 19:11:47,5,0,0,曜石黑,12GB+512GB
HUAWEI,u***i,终于入手啦，非常大气，嘎嘎板正，性能质量没话说，超大续航，手感很好，物流服务态度非常好，完美！,2025-01-24 20:19:01,5,0,3,云杉绿,12GB+1TB
HUAWEI,剑***叁,比预期要好，非常丝滑，比我的13pm要轻，尺寸更大，体验更好！东西也是正品，这家店靠谱的，也比官方自营好抢！,2025-01-04 17:07:09,5,6,13,风信紫,12GB+512GB
HUAWEI,8***q,期待已久的mate70pro。从开始发售每天都在抢。京东还是很有保障的。预计1月9日前发货，今天已经用上了。体验非常不错。功能强大👍,2024-12-28 14:02:48,5,1,0,雪域白,12GB+1TB
HUAWEI,9***6,刚拿到手拆开一看镜头这里就有瑕疵，要是膜的问题还好，要是屏幕的问题我都登录账号了还能退换货不，服了，心情大跌，原本挺期待的,2025-04-28 18:41:07,1,0,0,云杉绿,12GB+512GB
HUAWEI,7***8,外形外观：非常漂亮，工艺也非常完美，手感非常好,2025-01-03 20:30:25,5,0,0,风信紫,12GB+512GB
HUAWEI,星空下的相遇,终于到手了Mate70pro 白色外观经典颜色，真漂亮，拍照是真顶级提升太大了色彩还原也很牛,2024-12-26 18:25:18,5,0,1,雪域白,12GB+512GB
HUAWEI,故***生,朋友是华为的的忠实粉丝，帮他从店里抢到了一款mate70Pro顶配版本的，使用丝滑流畅，质量没的说，后盖大气美观，拍照加持，很大气上档次的手机,2025-02-20 09:58:03,5,2,2,曜石黑,12GB+1TB
HUAWEI,观***鸡,华为手机的整体使用体验相当出色。首先，它的外观设计简洁大方，手感舒适。其次，性能强大，运行流畅，无论是日常使用还是大型游戏都能轻松应对。再者，摄像头表现卓越，拍照效果令人满意。最后，电池续航能力强，充电速度快。综合来看，华为手机是一款值得推荐的优质产品。,2025-05-17 16:59:48,5,2,1,曜石黑,12GB+512GB
HUAWEI,葡***了,华为Mate70pro真的很赞，我选的黑色，外观大气，手感舒适质感十足，6.9英寸四曲屏显示清晰细腻，画面流畅。红枫原色影像让色彩还原极为精准，拍风景和人物都栩栩如生，就像亲眼所见，AI动态图片也很有趣，能拍出精彩瞬间设置为封面，还可以通过AI增强让照片媲美大片，超级满意，一个月没白抢哈哈,2025-01-26 20:54:33,5,0,0,曜石黑,12GB+1TB
HUAWEI,l***7,抢了好久终于抢到了，现在用着确实不错，拍照也很好，很多功能还要研究一下。,2025-01-12 22:20:30,5,0,0,云杉绿,12GB+512GB
HUAWEI,l***2,在使用这款手机的过程中，我深感其出色的性能和用户体验。首先，手机的外观设计简洁大方，手感舒适。其次，屏幕显示效果极佳，色彩鲜艳且清晰。再者，手机的处理器强大，运行流畅，无论是日常使用还是玩大型游戏都能轻松应对。最后，电池续航能力也令人满意，一次充电可以支持长时间使用。,2025-06-16 17:36:51,5,10,4,雪域白,12GB+512GB
HUAWEI,磨***豆,手机很好，也很顺畅，买的黑色，经典中的经典。心仪的手机终于到手了。,2025-06-12 21:03:57,5,51,3,曜石黑,12GB+1TB
HUAWEI,柔***兽,手机真棒，抢了几天终于抢到了，发货超级快，拿到手就用上了，很丝滑，拍照超级清晰，爱了爱了。,2024-12-28 18:17:30,5,0,0,曜石黑,12GB+1TB
HUAWEI,s***心,手机收到质量很好。像素特别高。拍很远的地方放大看还能看清。手感也很好。玩游戏非常快。,2025-01-01 14:23:42,5,0,0,曜石黑,12GB+1TB
HUAWEI,j***h,最近购买了这款手机，真的非常满意。首先，手机的性能非常强大，运行各种应用程序都非常流畅，没有丝毫卡顿。其次，手机的拍照效果也非常出色，色彩鲜艳，清晰度高。此外，手机的续航能力也很强，即使在重度使用的情况下，也能够保持较长的使用时间。最后，手机的外观设计也非常时尚，手感舒适，让人非常喜欢。总的来说，这款手机无论是性能还是外观都让我非常满意，强烈推荐给大家！,2025-06-24 18:26:21,5,0,0,雪域白,12GB+512GB
HUAWEI,A***4,好用，摄像功能超强，升级非常好的一代,2024-12-30 19:41:36,5,0,0,雪域白,12GB+512GB
HUAWEI,倪***喂,终于买到了mate70pro，手感很棒！屏幕非常nice，拍照效果特牛！！,2025-02-05 12:57:25,5,0,0,云杉绿,12GB+1TB
HUAWEI,j***s,使用体验不错，续航完美，大爱❤️,2025-05-30 14:36:03,5,1,1,雪域白,12GB+512GB
HUAWEI,3***f,之前用的P30prp就是内存小了其他都好，所以决定换一部。用了大概一周抢到的，咨询客服说大概近1个月才能发货，没想到这么快就收到了，真是惊喜，颜色对版，开心。,2025-01-07 17:24:53,5,6,0,云杉绿,12GB+1TB
HUAWEI,A***7,已经用了一段时间，为华为点赞，相机和系统都丝滑，抢了一个多星期才抢到手！,2025-01-06 22:14:24,5,0,0,曜石黑,12GB+1TB
HUAWEI,郑***0,"系统流畅不发热 充电快 拍照强大 随拍都是大片升级纯血鸿蒙更流畅 除了生态没用全覆盖没话说不过日常使用的应用都有了 支持华为 国产骄傲 荣耀30pro换过来的 越用越好用 希望华为越来越强大
越来越辉煌 越来越好一直遥遥领先",2025-02-16 07:51:52,5,0,1,曜石黑,12GB+512GB
HUAWEI,l***2,运行流畅丝滑，显示真实清晰，续航持久耐用，通话安静清澈,2024-12-27 21:21:57,5,0,0,雪域白,12GB+512GB
HUAWEI,羁***丶,手机收到了外观新颖功能强大，虽然等待时间比较久，但是很值得，电池续航时间长，拍照功能强大,2024-12-27 10:12:03,5,0,0,云杉绿,12GB+512GB
HUAWEI,j***c,"以前一直都是在实体店买，这次选择了网上买，不光是正品，价格还实惠！
买之前还担心价格低质量不行，结果收到货后惊讶得不行，质量好得没话说，太满意了！",2025-05-19 13:47:01,5,0,0,雪域白,12GB+1TB
HUAWEI,u***l,还不错，挺丝滑的，还不卡像素也不失真，不错哈,2025-05-24 23:35:08,5,0,0,雪域白,12GB+512GB
HUAWEI,阿***3,非常幸运能够在临近春节抢到这款手机，感谢感谢京东平台就这么给力，发货比较及时，颜色好看,2025-01-30 16:44:32,5,6,6,云杉绿,12GB+1TB
HUAWEI,小***小,运行流畅 拍照清晰 屏幕质感也还不错 总体来说体验感蛮好的,2025-06-17 19:03:45,5,0,0,曜石黑,12GB+512GB
HUAWEI,家***8,终于抢到了，期待已久的手机，性能不错，特别照相。,2025-01-04 08:39:59,5,0,0,雪域白,12GB+1TB
HUAWEI,w***r,手机不错运行流畅拍照清晰，给个赞,2025-05-02 05:41:31,5,2,0,云杉绿,12GB+512GB
HUAWEI,言***_,绿色很好看，是浅绿色，微曲上手很舒服，除了音量键有点太上的缺点别的都很不错的,2025-05-28 00:42:19,5,0,0,云杉绿,12GB+512GB
HUAWEI,我***啊,"价格有点贵，如果再下来一点性价比就高很多了，。。。红枫不错。
其他还行。",2025-06-01 11:33:14,5,0,1,云杉绿,12GB+1TB
HUAWEI,j***5,送给孩子的成人礼物，要上大学了从来没有问我要过手机，这个手机孩子自己选的颜色，实物比图片更给力，这款华为颜值还是很赞,2025-07-30 22:54:15,5,0,0,云杉绿,12GB+512GB
HUAWEI,风***2,华为手机，遥遥领先，质感超绝，运行流畅，拍照无敌，游戏飞起！,2025-08-01 08:38:11,5,0,1,雪域白,12GB+512GB
HUAWEI,函***墨,旗舰机型，非常不错，尤其是拍照功能属于一流水准,2025-08-05 19:16:04,5,0,0,曜石黑,12GB+256GB
HUAWEI,j***9,整体效果挺好的，手机顺畅，有几个小问题，客服也都给解决了。,2025-11-19 15:52:41,5,0,0,雪域白,12GB+512GB
HUAWEI,u***z,mate系列产品运行流畅，操作简单易懂。推荐入手,2025-09-05 14:18:55,5,0,0,曜石黑,12GB+512GB
HUAWEI,4csw1c73ialwdj,感觉还不错，操作不卡顿。,2025-11-24 20:08:43,5,0,0,云杉绿,12GB+512GB
HUAWEI,脚***天,"拍照清晰运行畅快续航很好
好不容易抢到的mate70pro，等商家发货也是等了好久。紫色的外观，颜值在线，配上绿色手机壳，非常吸睛。用起来也很流畅，学习了手势操作和侧边指纹，真的十分智能，遥遥领先。拍照也很清晰，挂件的每根绒毛都清晰可见，搭载的红枫原色摄像头对色彩的还原更贴合肉眼。华为加油，蒸蒸日上！",2025-01-03 09:52:35,5,0,0,风信紫,12GB+512GB
HUAWEI,点***1,成功抢到了mate70 pro，使用了两天，整体很满意，上一个使用的mate20 x，确实有了很大的提升，这次的红枫摄影也很不错，颜色还原真实，一起拿下matepad pro13.2搭配使用。,2024-12-23 22:18:48,5,0,0,曜石黑,12GB+512GB
HUAWEI,c***5,抢了几天终于在30号抢到的mate70 Pro，没想到居然能蹭上第一波发货，内存直接上512的了，从mate10到mate40pro再到mate70pro，华为从来没让我失望过，新机白色颜值很抗打，就是摄像头做的越来越高了，不过还能接受。鸿蒙的系统一如既往的流畅。拍照相比mate40Pro微焦拍摄提升了很多，后期再去测试户外，相信它能给我更多惊喜的,2024-12-04 21:03:50,5,0,1,雪域白,12GB+512GB
HUAWEI,b***2,"外形外观：大气稳重，做工精致，手感握持一流
拍照效果：拍照清晰，颜色细腻真实
运行速度：软件响应速度非常流畅",2024-12-25 09:10:37,5,1,0,曜石黑,12GB+1TB
HUAWEI,4csw1c73ialwdj,感觉不错，操作不卡顿。,2025-11-24 20:08:43,5,0,0,曜石黑,12GB+512GB
HUAWEI,林***-,"相当巴适，对得起等了那么久。拍照确实牛。
外形外观：相当喜欢
屏幕音效：还没体验
拍照效果：相当牛
运行速度：遥遥领先",2024-12-24 10:38:16,5,0,0,曜石黑,12GB+1TB
HUAWEI,暮***呈,用了mate70 pro，整体感觉很不错，外观大气，摄像功能很强大，续航和信号也更强了，玩游戏也流畅，给个好评。,2024-12-11 19:33:07,5,0,0,雪域白,12GB+1TB
HUAWEI,M***_,Mate 70 Pro收到了，全新镜头模组设计的很有质感。试了一下拍照功能，夜景拍的非常清晰，色彩还原度高。整体非常满意，五星好评！,2024-12-08 10:49:10,5,3,12,曜石黑,12GB+512GB
HUAWEI,j***0,以前都是用苹果手机，这次新品发布，换了一台华为mate70 pro。外观尺寸很大气，拍照效果非常清晰，明亮。电池比苹果的抗用，快充用起来也非常好，很快就能将手机充满电，华为品质值得信赖。,2024-12-11 22:41:11,5,3,1,曜石黑,12GB+512GB
HUAWEI,夕***C,感谢京东平台，白色非常惊艳，从nova5pro升级到mate70pro提升还是给很多的，旗舰机就是不一样，画质音质都杠杠的，期待后面更多体验！,2024-12-20 18:02:03,5,0,0,雪域白,12GB+512GB
HUAWEI,皮***衣,刚刚入手华为Mate70Pro，颜值和性能并存的梦中情机！无论是外观还是内在性能都没让我失望，白色特别有质感，满满的高级感！特别是我最关注的拍照功能，清晰度高，色彩鲜艳，细节处也能体现的很清楚细腻，拍照效果特别出色！完全满足了日常生活需求还有工作用途。就是在我的心趴上面！而且电池的续航能力也很强大充电速度快,2024-12-06 09:09:16,5,1,3,雪域白,12GB+512GB
HUAWEI,周***啊,太帅了 感谢京东让我抢到 60换70 遥遥领先 爱华为 比苹果好用太多了 信号简直无敌 出去旅游在西藏无人区都有信号 牛牛牛,2024-12-19 14:44:52,5,0,4,雪域白,12GB+512GB
HUAWEI,b***g,天天定闹钟准时抢购，终于抢到了这台华为mate70 pro，天天盯着物流看什么时候能发货，出乎预料在元旦前到手！用过mate20、40，终于等到了70。一路见证华为越来越好，也成为mate系列的死忠粉！这台mate70pro外观大气，机身处处体现着工艺细节，拍照效果超级一流，1T内存满足工作需要，爱了爱了，强推！！！,2024-12-22 12:51:21,5,0,8,曜石黑,12GB+1TB
HUAWEI,光***奶,27号买的，今天到货，值得等待，回家后迫不及待就开箱拍拍照，对比老婆的pura70pro➕有提升，红枫镜头很自然真实，手机质感不错，握在手里很别致。总体体验还是很不错的，值得购买。希望让我再抢到一次，给老丈人也换上。,2024-12-24 19:06:45,5,3,5,风信紫,12GB+512GB
HUAWEI,小***2,华为mate70pro，这次是真的强，手感很好，后屏不粘指纹，最重要的是拍照太强了,2024-12-13 10:21:47,5,0,3,曜石黑,12GB+512GB
HUAWEI,n***m,"外形外观：非常漂亮
屏幕音效：很舒服。
拍照效果：高清
运行速度：相当快
待机时间：很棒
其他特色：苹果转华为很成功。mate70pro手机相当棒。体验感最好的一次",2024-12-08 18:59:08,5,19,8,雪域白,12GB+1TB
HUAWEI,j***E,收到就迫不及待用上了，mate70 PRO，买了经典色白色，手感很好，很喜欢，大小刚刚合适，手机速度也很快，买了IT容量，以前买的256实在不够用，经常想着删东西。简约外观，极简就是高级，准备攒攒钱给老公也入手一个吧,2024-12-15 19:52:51,5,0,0,雪域白,12GB+1TB
HUAWEI,j***3,这款手机预约后抢了几次才抢到的，外观外形很漂亮，适合男生用，拍照效果也非常棒，待机时间长，运行速度快，发的顺丰快递，很给力,2024-12-10 09:18:07,5,0,0,曜石黑,12GB+512GB
